/usr/local/lib/python2.7/dist-packages/OpenSSL/crypto.py:14: CryptographyDeprecationWarning: Python 2 is no longer supported by the Python core team. Support for it is now deprecated in cryptography, and will be removed in the next release.
  from cryptography import utils, x509
2023-06-01 17:46:26,659 [CRITICAL] [192.188.125.181:6559<=>172.23.131.18:7680 327e48ca-fb8b-4b06-a192-17579bd166e8 logging](Unknown) MITM Success! Not TLS!
2023-06-01 17:46:40,724 [CRITICAL] [192.188.125.181:6581<=>112.80.248.75:443 3c0c1003-504e-43b7-a7ff-761df97380dc selfsigned](Unknown) MITM Success! Cert file: /tmp/._cert_ca.pem_-5566359866050371192.pem
2023-06-01 17:46:40,726 [ERROR] [192.188.125.181:6581<=>112.80.248.75:443 3c0c1003-504e-43b7-a7ff-761df97380dc httpdetection](Unknown) HTTP request GET www.baidu.com/
2023-06-01 17:46:49,125 [CRITICAL] [192.188.125.181:6583<=>112.80.248.75:443 28538a78-3638-4c2d-8e06-ad6e10e48973 selfsigned](Unknown) MITM Success! Cert file: /tmp/._cert_ca.pem_-5566359866050371192.pem
2023-06-01 17:46:49,126 [ERROR] [192.188.125.181:6583<=>112.80.248.75:443 28538a78-3638-4c2d-8e06-ad6e10e48973 httpdetection](Unknown) HTTP request GET www.baidu.com/
2023-06-01 17:46:54,926 [CRITICAL] [192.188.125.181:6584<=>101.71.100.87:80 100b8037-a1fd-4e0a-b7ff-048a028931f3 logging](Unknown) MITM Success! Not TLS!
2023-06-01 17:46:54,927 [ERROR] [192.188.125.181:6584<=>101.71.100.87:80 100b8037-a1fd-4e0a-b7ff-048a028931f3 httpdetection](Unknown) HTTP request GET ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/pinrulesstl.cab?f0f95a6f60adb5a6
2023-06-01 17:47:00,908 [CRITICAL] [192.188.125.181:6585<=>112.80.248.76:443 3dc239a1-82f1-4631-b3a1-60350f09f9ca selfsigned](Unknown) MITM Success! Cert file: /tmp/._cert_ca.pem_-5566359866050371192.pem
2023-06-01 17:47:00,909 [ERROR] [192.188.125.181:6585<=>112.80.248.76:443 3dc239a1-82f1-4631-b3a1-60350f09f9ca httpdetection](Unknown) HTTP request GET www.baidu.com/
2023-06-01 17:47:08,079 [CRITICAL] [192.188.125.181:6587<=>91.189.91.48:80 3644565e-647d-4ac5-8cb3-f5a6963ce598 logging](Unknown) MITM Success! Not TLS!
2023-06-01 17:47:08,080 [ERROR] [192.188.125.181:6587<=>91.189.91.48:80 3644565e-647d-4ac5-8cb3-f5a6963ce598 httpdetection](Unknown) HTTP request GET connectivity-check.ubuntu.com/
2023-06-01 17:47:08,081 [CRITICAL] [192.188.125.181:6592<=>10.34.229.216:7680 2bec57ed-4235-4f29-b018-a4b0bc8bbb7e logging](Unknown) MITM Success! Not TLS!
2023-06-01 17:47:12,805 [CRITICAL] [192.188.125.181:6598<=>101.71.172.240:443 d7620160-d085-498d-a6c3-fd375932847f selfsigned](Unknown) MITM Success! Cert file: /tmp/._cert_ca.pem_-7823353388333511644.pem
2023-06-01 17:47:12,806 [ERROR] [192.188.125.181:6598<=>101.71.172.240:443 d7620160-d085-498d-a6c3-fd375932847f httpdetection](Unknown) HTTP request GET www.sina.com/
